Country,,Region,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Algeria,exports,Africa,1.061,1.324,1.191,0.491,0.422,0.313,0.262,0.21,0.319,0.196,0.259,0.212,0.197,0.275,0.3,0.273,0.323,0.362,0.803,0.799,0.985,0.384,0.877,0.641,0.507,0.88,0.597,0.673,0.574,0.598533333
Algeria,imports,Africa,0.125,0.125,0.067,0.215,0.285,0.312,0.3,0.15,0.25,0.15,0.237,0.223,0.211,0.359,0.382,0.279,0.274,0.33,0.736,0.657,0.936,0.295,0.686,0.61,0.257,0.537,0.506,0.531,0.513,0.501934692
Algeria,installed capacity,Africa,5.369,5.814,6.007,6.007,6.039,6.04,6.044,6.044,6.398,6.4,6.835,6.845,7.251,7.499,7.899,8.134,8.134,11.327,11.3271,11.4471,13.0231,15.025,15.8791,17.119,19.078,19.602,21.208,21.695,21.694,21.694
Algeria,net consumption,Africa,14.035,14.039,14.365,14.474,15.172,15.365,16.905,18.492,19.71552,20.64764,21.62354,23.61164,24.42506,27.5164,26.91052,28.3348,30.49982,28.315,33.8405,38.13478,42.8675,45.2014,49.20572,53.45544,55.82304,60.28346,62.11403,66.646,63.69490277,68.66337919
Algeria,net generation,Africa,17.199,18.267,18.703,18.09,19.124,19.739,21.448,23.282,23.88952,25.03064,25.99154,27.80964,29.38706,31.9074,33.12352,34.9758,37.83582,36.206,42.9985,48.17578,53.9845,56.3134,60.39972,64.68244,66.75504,71.49546,72.10903,76.685,72.73591277,77.53072719
Algeria,net imports,Africa,-0.936,-1.199,-1.124,-0.276,-0.137,-0.001,0.038,-0.06,-0.069,-0.046,-0.022,0.011,0.014,0.084,0.082,0.006,-0.049,-0.032,-0.067,-0.142,-0.049,-0.089,-0.191,-0.031,-0.25,-0.343,-0.091,-0.142,-0.061,-0.096598641
Antigua and Barbuda,GDP,Central & South America,499281481.481481,535174074.074074,589429629.62963,577281481.481481,633729629.62963,680618518.518518,727859259.259259,766200000.0,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000.0,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605944444.44444,1687533333.33333,1370281481.48148,
Antigua and Barbuda,GDP_growth,Central & South America,1.15847519142061,5.27987870861712,6.67670710324244,-4.35958738239265,6.60445972082297,5.4716084820797,4.73112509163738,3.70761791039314,6.20343125361191,-4.54800347258279,1.02744196976423,6.07654368848398,5.7670286118037,6.47383131641992,12.7081485327737,9.31538316339753,-0.0143406519435985,-11.9626972488343,-7.84059474412172,-1.95861262834343,3.37286620031867,-0.600876396735046,3.79572761294251,3.82529309880827,5.49645920357835,3.14432323970505,6.883640816875,4.86223616575663,-20.1923705722071,
Antigua and Barbuda,GDP_per_capita,Central & South America,7745.72179961652,8136.18854727449,8771.14372746878,8406.35894515205,9030.5749776224,9491.66076559497,9940.85222769034,10260.5994054155,10872.2929515751,10367.3196068161,10401.0508759034,10797.9510571837,11446.9691417182,12557.5478500769,13995.8044243845,15622.6928710238,16044.1057963132,14160.5620007335,13048.9605816199,12746.6334682021,13272.7349447294,12910.5906255945,13501.5809223367,14285.3297773091,15198.7429664112,15383.5763979856,16679.5916624545,17376.6496765004,13992.7444804497,
Antigua and Barbuda,GDP_per_capita_growth,Central & South America,-0.561528047999744,3.17034376269443,4.41621051963482,-6.40826875122565,4.31973121791434,3.2197079342104,2.56838780843826,1.68690676515352,4.34085051945499,-6.0376638338678,-0.373817346938182,4.72168069651021,4.4032609335851,5.01648529106077,11.0008002874547,7.60596839615401,-1.61258438112945,-13.3318258403209,-9.18796671463534,-3.29878621482433,2.04993317307776,-1.79896658725413,2.61605230937501,2.70571843639473,4.43725332350857,2.16611404366698,5.93227628165489,3.96278455965997,-20.8549349330109,
Antigua and Barbuda,PPP,Central & South America,791873242.80906,853444312.345216,929867748.187428,907977704.783545,985667483.481136,1058189112.69129,1120726980.9667,1179060284.10002,1280195144.17377,1248774864.26956,1281560907.27004,1384681527.42647,1503964936.73947,1651209567.74817,1917366845.05439,2152280699.07979,2193830738.54859,1946113356.08119,1814425571.79809,1816047262.12083,1771798543.10742,1720170788.92087,1762288334.80494,1769549897.41954,1882863521.88954,1893259104.10693,2072170136.49086,2211713927.44631,1786389668.67458,
